Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p (controller),u_q (controller),u_r (controller),f_x (controller),f_y (controller),f_z (controller),u_p,u_q,u_r,f_x,f_y,f_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz
0.0,0.009720460511744022,-0.011724301613867283,-0.16791324317455292,0.00331230484880507,-0.02801578678190708,-0.07094154506921768,0.003090264042839408,0.004078146535903215,-0.0027157308068126444,1.3960351689401514e-05,0.0033943565323779766,-0.014908992836238078,-0.001309949322603643,0.002352939685806632,0.00025871105026453733,0.0,0.0,-0.0010000000474974513,11.425922585065246,-13.013785305279853,-3.5685649315121,0.0,0.0,112.21012777637915,0.49441735406710713,3.544141028053107,-1.2841708431128918,11.425866427648627,-13.011764919505048,-3.5685741964120155
0.05,0.00960278045386076,-0.011852791532874107,-0.16856886446475983,0.0031991300638765097,-0.028268922120332718,-0.07158289849758148,0.0012113589327782393,0.0047375839203596115,0.0026150622870773073,2.22997178794196e-05,0.003375197213048266,-0.014955593963786016,-0.001309949322603643,0.002352939685806632,0.00025871105026453733,0.0,0.0,-0.0010000000474974513,11.437763948109492,-13.62047922673872,-3.6740513381013544,0.0,0.0,115.89862617789056,-0.285575984239898,0.49257637965724665,4.739109207010047,11.437698268128146,-13.619673657026109,-3.674062097781413
0.1,0.009485981427133083,-0.010563557967543602,-0.16609100997447968,0.004288694355636835,-0.028202101588249207,-0.07000016421079636,0.007370679639279842,0.0031812079250812535,0.0031806724146008487,4.7103034711540316e-05,0.00343971101520025,-0.014951085029577064,0.0018618968315422535,0.0021299398504197598,0.0012657474726438522,0.0,0.0,-0.0010000000474974513,11.951251381473796,-13.927594732825636,-3.726355017189838,0.0,0.0,118.26176854638948,0.9362311154882589,-1.162785648670212,0.5029669169720945,11.951207428934225,-13.922737823939947,-3.726362575424886
0.15,0.009455528110265732,-0.009905626066029072,-0.16494682431221008,0.004154547117650509,-0.02596301957964897,-0.07126224786043167,-0.0037961085326969624,-0.002177431946620345,0.001150130992755294,9.109904576137825e-05,0.003417872145720268,-0.014986414032433141,0.0018618968315422535,0.0021299398504197598,0.0012657474726438522,0.0,0.0,-0.0010000000474974513,12.143126851377778,-14.808978058689277,-3.8324211057814876,0.0,0.0,122.41381122372493,-1.6973553582918666,-4.002871806578399,-1.805102142701146,12.143157128627411,-14.811488993727936,-3.8324158588431314
0.2,0.009435980580747128,-0.00783550925552845,-0.1609855592250824,0.005157506093382835,-0.023538947105407715,-0.06705811619758606,0.001918160356581211,0.002042524982243776,-0.004510512575507164,1.1938871705922599e-05,0.0034299929251320866,-0.015082140797831427,0.00020875499467365444,0.001270286738872528,0.0011631296947598457,0.0,0.0,-0.0010000000474974513,12.550097778171043,-15.585556120752022,-3.862069935618054,0.0,0.0,124.58574814999537,0.8685557889451245,3.152371590264342,-5.032288820737158,12.550069545036271,-15.584303717959006,-3.8620746430821664
0.25,0.009476416744291782,-0.007453636731952429,-0.16063052415847778,0.004025413654744625,-0.021708354353904724,-0.06800581514835358,0.002946855267509818,0.006425134837627411,0.0012429815251380196,3.8396987781169315e-05,0.003500097101214285,-0.015125338755234809,0.00020875499467365444,0.001270286738872528,0.0011631296947598457,0.0,0.0,-0.0010000000474974513,13.096460173069412,-16.48845334966148,-3.947337110233563,0.0,0.0,128.776997417223,0.15637296704108583,3.2737825664969296,5.114968912431091,13.096371984463563,-16.486524364695505,-3.94735214180398
0.3,0.009569463320076466,-0.007310524582862854,-0.1614076793193817,0.005362126510590315,-0.021031226962804794,-0.06557182967662811,0.00040638598147779703,0.0012315129861235616,-0.0024194386787712574,0.0001064210802088946,0.003685380898802642,-0.015170480084734027,0.0015888523776084185,0.002531554317101836,-0.0003542427148204297,0.0,0.0,-0.0010000000474974513,13.708825520026277,-17.646453142264203,-3.9768241635158663,0.0,0.0,131.89557822313654,-0.3861555624664831,-3.8796282766980346,-3.2558885834811466,13.708808904784192,-17.64619782718999,-3.976827158166275
0.35,0.009645946323871613,-0.0071495226584374905,-0.16159337759017944,0.0053984662517905235,-0.020988313481211662,-0.0662258118391037,0.0031452730763703585,-0.00040520308539271366,-0.001085424330085516,0.00012736888714988905,0.0037164987785027275,-0.015172716010266903,0.0020063251722604036,0.0032355424482375383,-0.00020448984287213534,0.0,0.0,-0.0010000000474974513,14.760668604614422,-19.05324450067348,-4.03914396880762,0.0,0.0,136.85112262829972,0.4163114629642176,-1.2226017445675137,1.1859311728592121,14.760673994761056,-19.05125395149134,-4.039143256124256
0.4,0.009775949642062187,-0.0065913693979382515,-0.16149717569351196,0.004321204032748938,-0.021035149693489075,-0.06428062170743942,-0.00014313682913780212,0.002158457413315773,-0.0001008407416520643,0.00015965040627012017,0.0036926751053493936,-0.01526715307206421,0.001359109184704721,0.0018352512270212173,0.0004666623717639595,0.0,0.0,-0.0010000000474974513,15.719644998187462,-20.38772718607087,-4.0356973949251795,0.0,0.0,140.43386662556003,-0.4998386147150743,1.9150542861564825,0.8752929718365763,15.719617036325165,-20.38781571699661,-4.035702383610851
0.45,0.009528177790343761,-0.006243480369448662,-0.16064544022083282,0.00568818487226963,-0.021578436717391014,-0.06296459585428238,-0.0018153669079765677,-0.005211748648434877,-0.0012582682538777583,0.00016317407658951577,0.003688496094364438,-0.015326238380864322,0.001359109184704721,0.0018352512270212173,0.0004666623717639595,0.0,0.0,-0.0010000000474974513,16.968599787954865,-22.364491771104365,-4.073025334275918,0.0,0.0,146.42625735914822,-0.2541696599389148,-5.505560762818445,-1.0288967640142692,16.968665277614495,-22.36558089070122,-4.0730134489966385
0.5,0.00752897746860981,-0.0044624172151088715,-0.15465858578681946,0.0022542080841958523,-0.01783965341746807,-0.06270452588796616,0.005960684269666672,-0.005601718090474606,-0.003576692892238497,0.0001797280186393251,0.00352624687072035,-0.015388852842544674,0.0018463169690221548,0.0031692953780293465,0.0005175297847017646,0.0,0.0,-0.0010000000474974513,18.436385406954344,-24.098580350735546,-4.0035694624440135,0.0,0.0,150.71856140706385,1.181988229589668,-0.2911500482155439,-2.0612781744364814,18.436452453624348,-24.09518974025946,-4.003558626864242
0.55,0.006675016134977341,-0.0038264701142907143,-0.1525864154100418,0.002580028958618641,-0.018200576305389404,-0.06206727772951126,0.003668153425678611,-0.0038517895154654975,0.004552952479571105,0.00019814683788840087,0.0035566435811255756,-0.01533967356229327,0.0018463169690221548,0.0031692953780293465,0.0005175297847017646,0.0,0.0,-0.0010000000474974513,19.93366682902144,-26.258373402878746,-3.9894062122790706,0.0,0.0,157.6618994563603,-0.3484895908469531,1.307073559690713,7.227170668257045,19.933711223320085,-26.25635169071806,-3.9893989692642795
0.6,0.005409212317317724,-0.0031914468854665756,-0.15034553408622742,0.007295476272702217,-0.017543349415063858,-0.05116252601146698,0.002730538370087743,0.010568412020802498,0.002335978904739021,0.00014596774887455763,0.003809568239673165,-0.015240281492956389,-0.000356639560777694,-1.0448042303323746e-05,0.00024399920948781073,0.0,0.0,-0.0010000000474974513,21.740536386034808,-28.20812724034571,-3.8610564946476815,0.0,0.0,162.96010525571927,-0.14248243207550912,10.771843538194364,-1.9707178061712471,21.74042178433103,-28.2067125785394,-3.861077858929079
0.65,0.005040506832301617,-0.0031149559654295444,-0.14962947368621826,0.011264042928814888,-0.01721244864165783,-0.04063613340258598,-0.0023929420858621597,0.04344893991947174,-0.002465939149260526,0.0001266438733094008,0.00428604917312313,-0.015270051356744958,-0.0007281089201569557,0.002530493075028062,3.489788650767878e-05,0.0,0.0,-0.0010000000474974513,24.680329557418354,-30.34285320749673,-3.8741091610602245,0.0,0.0,172.50405082011235,-0.7789211715719419,24.561710851044584,-4.269523776247268,24.679875777372764,-30.344048585164956,-3.874203246388917
0.7,0.0052571408450603485,-0.00322210555896163,-0.1475926786661148,0.029832303524017334,-0.015208501368761063,-5.3159164963290095e-06,-0.0009679027134552598,0.09342002868652344,0.0015604441286995892,0.00015363562369916317,0.008825179834965072,-0.015320337191968179,-0.0007281089201569557,0.002530493075028062,3.489788650767878e-05,0.0,0.0,-0.0010000000474974513,28.35426052512409,-31.832911799018856,-3.711784321819469,0.0,0.0,179.0311243371582,0.2168129875699277,37.32841444032686,3.578916726185965,28.35335505709078,-31.83335218978291,-3.712171452760881
0.75,0.005856228526681662,-0.003374291118234396,-0.1462528556585312,0.03895767405629158,-0.01520365197211504,0.023080097511410713,0.002300806576386094,0.15969990193843842,0.0010849360842257543,0.00023762854703511825,0.011611901388897847,-0.015271948070121142,-0.0008915973012335598,0.0014620282454416156,-0.00023627863265573978,0.0,0.0,-0.0010000000474974513,32.442599556697324,-31.008647358553347,-3.603009746738148,0.0,0.0,185.68457202708146,0.49708984720037547,49.511046921979556,-0.4205403919587016,32.441139831257814,-31.007640392473274,-3.6038313268315383
0.8,0.008545994758605957,-0.0038072008173912764,-0.1403934359550476,0.06292543560266495,-0.013102090917527676,0.0858616903424263,0.0004607870941981673,0.24094735085964203,0.000732973800040752,0.00038411220962286045,0.025867504738493093,-0.015291551569535398,-1.318410795647651e-06,0.002412989269942045,0.00047415049630217254,0.0,0.0,-0.0010000000474974513,36.10788331103147,-29.77381197067269,-3.3119037824835704,0.0,0.0,189.72093834575398,-0.2794321777971404,60.69184185495943,-0.31223386933400576,36.10590798307914,-29.773624674107584,-3.314380238607556
